               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.087276,            0.030305,            0.017372,           0.0022346,                 0.5,              0.1275,            0.026696,             0.07153,            0.047002,            0.018823,           0.0080398,           0.0080398,           0.0080398
                 101,            0.086509,             0.03185,            0.015481,           0.0022346,                 0.5,              0.1275,            0.026696,             0.07153,            0.047002,            0.018823,             0.00802,             0.00802,             0.00802
                 102,            0.083324,            0.034007,            0.014147,           0.0022548,                 0.5,              0.1354,            0.032832,            0.071348,            0.046815,            0.017999,           0.0080002,           0.0080002,           0.0080002
                 103,            0.094553,             0.05079,            0.016739,           0.0022548,                 0.5,              0.1354,            0.032832,            0.071348,            0.046815,            0.017999,           0.0079804,           0.0079804,           0.0079804
                 104,            0.090221,            0.027329,            0.012488,           0.0022753,                 0.5,              0.1497,            0.035083,            0.072235,            0.046417,            0.017883,           0.0079606,           0.0079606,           0.0079606
                 105,            0.087767,             0.02315,            0.012245,           0.0022753,                 0.5,              0.1497,            0.035083,            0.072235,            0.046417,            0.017883,           0.0079408,           0.0079408,           0.0079408
                 106,            0.083278,            0.034832,            0.014345,           0.0023557,                 0.5,             0.18588,            0.038248,            0.070494,             0.04599,            0.018127,            0.007921,            0.007921,            0.007921
                 107,            0.097082,            0.039982,            0.015336,           0.0023557,                 0.5,             0.18588,            0.038248,            0.070494,             0.04599,            0.018127,           0.0079012,           0.0079012,           0.0079012
                 108,            0.084306,            0.036372,            0.014602,            0.002457,                 0.5,             0.20667,             0.04081,            0.069876,             0.04609,            0.017175,           0.0078814,           0.0078814,           0.0078814
                 109,            0.092273,            0.069067,            0.016292,            0.002457,                 0.5,             0.20667,             0.04081,            0.069876,             0.04609,            0.017175,           0.0078616,           0.0078616,           0.0078616
                 110,            0.091894,            0.038496,            0.016053,            0.018518,             0.61905,             0.14455,            0.019996,            0.069789,            0.046056,            0.015082,           0.0078418,           0.0078418,           0.0078418
